time,open,high,low,close,Volume
1753709400,67.405,67.74,66.7,67.1,38747986
1753795800,67.61,67.665,66.37,66.71,38407325
1753882200,66.78,67.53,65.72,66.37,40903139
1753968600,67.12,67.58,66.29,66.32,41463076
1754055000,65.65,65.74,64.14,64.22,69829683
1754314200,64.792,65.74,64.7343,65.2,29985169
1754400600,64.86,65.12,63.93,64.55,31327663
1754487000,64.71,65.78,64.4777,65.51,26866652
1754573400,66.19,66.89,65.74,66.83,41363904
1754659800,66.38,66.7163,65.82,66.13,29121353
1754919000,67.88,68.65,67.37,67.64,43158507
1755005400,67.73,68.3,67.36,67.95,33721574
1755091800,68.55,69.89,68.22,69.84,54824607
1755178200,67.21,67.88,66.55,67.03,71199629
1755264600,67.31,67.36,66.34,66.44,39585054
1755523800,65.72,66.35,65.18,66.05,33918461
1755610200,65.74,65.8058,63.9,64.19,56556244
1755696600,64.365,64.99,63.74,64.9,40798804
1755783000,64.35,64.7658,63.54,63.69,34187113
1755869400,63.8,66.755,63.56,66.25,66739180
1756128600,63.45,64.1955,62.76,62.88,55863410
1756215000,62.41,63.18,62.11,63.1,41469257
1756301400,63.245,64.02,63.045,63.65,33800772
1756387800,64.215,64.38,63.555,63.58,30895767
1756474200,62.78,62.83,61.31,61.44,52646976
1756819800,62.135,63.5399,61.94,62.97,46457438
1756906200,63.26,64,63.1358,63.77,34218129
1756992600,62.93,63.01,62.06,62.35,32780389
1757079000,64.12,64.345,62.545,63.42,47921768
1757338200,63.76,64.19,63.53,63.7,37129769
1757424600,64.1,64.19,62.87,63.22,36145445
1757511000,64.6,65.03,64.27,64.53,45182954
1757597400,64.625,65.21,64.575,65.03,34658172
1757683800,65.32,66.45,65.22,66.38,48551141
1757943000,65.36,65.66,64.93,65.5,34018370
1758029400,65.57,66.4699,65.14,66.37,33920588
1758115800,66.03,66.19,65.1,65.67,46293658
1758202200,66.73,67.04,66.48,66.75,38481187
1758288600,66.01,66.2,65.34,65.37,32989380
1758547800,64.175,64.46,63.58,63.65,42504051
1758634200,64.16,64.39,63.33,63.41,40144961
1758720600,64.2,64.78,64.07,64.42,30977567
1758807000,63.38,63.43,61.58,62.1,63817351
1758893400,62.01,62.65,61.67,61.94,48826041
1759152600,63.72,65.04,63.65,64.97,51102325
1759239000,64.4,65.11,64.1,65,38099852
1759325400,66.3,67.23,66.15,66.74,57783320
1759411800,67.76,68.84,67.37,68.77,62252241
1759498200,68.605,70.53,68.22,69.81,83244108
1759757400,71.01,71.82,70.71,71.29,68777377
1759843800,70.97,71,68.53,69.13,81680220
1759930200,69.58,70.59,69.12,70.06,54245583
1760016600,70.15,70.16,67.95,68.74,55757576
1760103000,69.32,69.66,65.8,66.2,104949182
1760362200,64.96,65.8756,64.62,65.81,71877425
1760448600,62.91,64.53,62.365,63.91,75710413
1760535000,63.29,63.77,62.49,63.17,49569075
1760621400,63.095,63.3,61.015,61.43,89080556
1760707800,59.89,61.03,59.31,60.47,94055268
1760967000,62.88,63.44,62.36,62.93,51770241
1761053400,61.73,64.8,61.42,63.49,82011139
1761139800,61.42,61.975,60.96,61.21,72451122
1761226200,61.96,63.2357,61.71,62.56,41591269
1761312600,63.17,63.26,62.295,62.83,39980939
1761571800,65.375,65.76,65,65.28,49298024
1761658200,65.35,65.9699,64.41,64.49,47609826
1761744600,64.485,64.51,62,62.75,76944370
1761831000,61.53,61.59,60.28,60.4,57355586
1761917400,62.35,63.03,61.62,62.3,47300723
1762180200,61.015,61.39,59.745,60.53,51820381
1762266600,58.88,59.49,56.485,57.18,105318024
1762353000,58.255,59.39,57.96,58.92,51487193
1762439400,58.4,58.41,56.9044,57.26,54876210
1762525800,56.88,58.96,56.39,58.88,64022332
1762785000,60.299,60.36,59.4,60.19,51036740
1762871400,59.33,59.41,58.25,58.35,33993831
1762957800,59.47,59.56,57.17,57.59,41656415
1763044200,58.12,58.7,55.48,55.59,78277765
1763130600,54.09,55.285,53.38,53.475,94217090
1763389800,53.385,54.445,51.7,52.1,92045921
1763476200,52.025,53.245,51.6,52.66,75629033
1763562600,51.705,52.435,50.2,50.73,94744609
1763649000,51.86,51.97,48.74,48.96,122462495
1763735400,47.49,48.57,46.68,47.97,168213523
1763994600,48.725,50.66,48.33,50.57,82759070
1764081000,49.475,50,48.84,49.56,65052794
1764167400,49.52,51.33,49.17,51.03,66507238
1764340200,52.8,52.85,51.23,51.55,47334564
1764599400,48.94,49.205,47.55,48.5,89232147
1764685800,50.33,52.39,50.15,51.67,72757584
1764772200,52.55,53.1799,52.08,52.74,57151728
1764858600,52.665,52.93,51.58,52.51,40571728
1764945000,51.35,51.935,50.035,50.69,55578532
1765204200,51.835,52.065,50.83,51.52,43121846
1765290600,51.23,53.72,51.06,52.85,55905888
1765377000,52.19,53.655,51.955,52.49,56217008
1765463400,51.16,52.12,50.6502,52.1,50372623
1765549800,52.305,52.62,50.76,51.2,47356249
1765809000,50.72,51,48.28,48.66,73130493
1765895400,49.31,50.02,49.23,49.71,56074668
1765981800,49.77,51.265,48.36,48.71,79012849
1766068200,50.2,50.6856,47.87,47.96,71534615
1766154600,49.92,50.71,49.22,49.91,62739231
1766413800,51.01,51.29,49.82,50.09,50019125
1766500200,49.68,50.09,49.07,49.65,43757648
1766586600,49.46,49.7,48.96,49.46,22759340
1766759400,50.445,50.5,49.07,49.61,38333126
1767018600,49.63,49.99,49.305,49.38,32269287
1767105000,49.95,50.73,49.78,49.83,44071825
1767191400,50.43,50.43,49.395,49.65,33834338
1767364200,50.38,51.66,50.14,50.94,65968849
1767623400,52.61,53.82,52.38,53.46,76547404
1767709800,53.54,53.55,51.72,52.45,54907439
1767796200,51.86,52.2278,51.37,51.54,44366968
1767882600,50.76,51.84,50.56,51.52,42787253
1767969000,51.345,52.18,50.89,51.16,39688425
1768228200,51.14,52.38,51.07,51.87,40729082
